geoid,population,pop_error,longitude,latitude,city,county,zip_code
86000US02145,28402.0,897.0,-71.08958182784593,42.392028280859314,Somerville,Middlesex,z02145
86000US02148,60984.0,33.0,-71.05761167029885,42.43046855362905,Malden,Middlesex,z02148
86000US02149,46118.0,36.0,-71.05446785403781,42.40641276109733,Everett,Middlesex,z02149
86000US02150,39983.0,48.0,-71.03246857121394,42.39589335557866,Chelsea,Suffolk,z02150
86000US02151,53701.0,62.0,-71.00173879663319,42.417992825736064,Revere,Suffolk,z02151
86000US02152,18542.0,24.0,-70.97556927106322,42.37379069626911,Winthrop,Suffolk,z02152
86000US02155,59735.0,309.0,-71.10884560457927,42.42323665417748,Medford,Middlesex,z02155
86000US02163,2621.0,449.0,-71.12075291671695,42.36637671963233,Boston,Suffolk,z02163
86000US02169,56523.0,853.0,-71.00183179655345,42.248258910452726,Quincy,Norfolk,z02169
86000US02170,19848.0,990.0,-71.016004551759,42.2665046879637,Quincy,Norfolk,z02170
86000US02171,17836.0,893.0,-71.02098888043379,42.29273206970684,Quincy,Norfolk,z02171
86000US02176,28113.0,56.0,-71.05901127431815,42.455613906305324,Melrose,Middlesex,z02176
86000US02180,23223.0,27.0,-71.09716235034138,42.474089350573344,Stoneham,Middlesex,z02180
86000US02184,37220.0,49.0,-71.00221665892013,42.20384606341649,Braintree,Norfolk,z02184
86000US02186,27572.0,34.0,-71.0842984066833,42.24126042769866,Milton,Norfolk,z02186
86000US02188,15831.0,881.0,-70.95749377104775,42.208070042404614,Weymouth,Norfolk,z02188
86000US02189,15296.0,795.0,-70.93160666660911,42.20878169171988,East Weymouth,Norfolk,z02189
86000US02190,17247.0,729.0,-70.95272214085382,42.16645245614322,South Weymouth,Norfolk,z02190
86000US02191,8360.0,429.0,-70.94182569827699,42.24393590221665,North Weymouth,Norfolk,z02191
86000US02199,1157.0,275.0,-71.08203502564614,42.347476053508,Boston,Suffolk,z02199
86000US02203,30.0,25.0,-71.05873705121832,42.3605882158264,Boston,Suffolk,z02203
86000US02210,3715.0,461.0,-71.03892801515241,42.34759524501044,Boston,Suffolk,z02210
86000US02215,25770.0,1299.0,-71.10303726935521,42.34771409823849,Boston,Suffolk,z02215
86000US02301,63420.0,1083.0,-71.04224091123656,42.07791167011437,Brockton,Plymouth,z02301
86000US02302,32174.0,1086.0,-70.99865171423632,42.087915724816604,Brockton,Plymouth,z02302
86000US02322,4500.0,20.0,-71.04924355362675,42.12666062649347,Avon,Norfolk,z02322
86000US02332,15812.0,22.0,-70.70976437363336,42.044662321034245,Duxbury,Plymouth,z02332
86000US02333,14466.0,54.0,-70.94239467294122,42.03515292429257,East Bridgewater,Plymouth,z02333
86000US02339,14459.0,21.0,-70.8566503248235,42.122397522478444,Hanover,Plymouth,z02339
86000US02341,10777.0,33.0,-70.87232385169102,42.055762858238204,Hanson,Plymouth,z02341
86000US02343,10423.0,941.0,-71.0048286566095,42.14731401107893,Holbrook,Norfolk,z02343
86000US02351,16436.0,36.0,-70.95955368462451,42.11726347549375,Abington,Plymouth,z02351
86000US02356,13312.0,535.0,-71.12058394585,42.055076837916744,North Easton,Bristol,z02356
86000US02357,1061.0,239.0,-71.08080177430034,42.05771427475017,North Easton,Bristol,z02357
86000US02359,18380.0,30.0,-70.80142726767184,42.0654963925814,Pembroke,Plymouth,z02359
86000US02368,34686.0,948.0,-71.05341802454134,42.17696172536566,Randolph,Norfolk,z02368
86000US02370,17953.0,39.0,-70.91095701501312,42.12986980574131,Rockland,Plymouth,z02370
86000US02375,10248.0,536.0,-71.1015026714566,42.01748198442991,South Easton,Bristol,z02375
86000US02379,7198.0,50.0,-71.02668766207871,42.021391990002776,West Bridgewater,Plymouth,z02379
86000US02382,15056.0,28.0,-70.93991805648548,42.07999474058876,Whitman,Plymouth,z02382
86000US02420,14718.0,531.0,-71.21671374688052,42.45634681866532,Lexington,Middlesex,z02420
86000US02421,18622.0,527.0,-71.23997931025846,42.43852918593837,Lexington,Middlesex,z02421
86000US02445,21074.0,843.0,-71.13406720778372,42.32594536443785,Brookline,Norfolk,z02445
86000US02446,29862.0,786.0,-71.12163779149552,42.34352006399308,Brookline,Norfolk,z02446
86000US02451,18246.0,657.0,-71.2571624060489,42.39817574709934,Waltham,Middlesex,z02451
86000US02452,14909.0,695.0,-71.21963061771318,42.39359891805216,Waltham,Middlesex,z02452
86000US02453,29505.0,792.0,-71.24031752666751,42.36908926853434,Waltham,Middlesex,z02453
86000US02457,1752.0,199.0,-71.26842188715842,42.298368988138265,Babson Park,Norfolk,z02457
86000US02458,12778.0,613.0,-71.18750652180248,42.35277571382711,Newton,Middlesex,z02458
86000US02459,19012.0,794.0,-71.19173272778747,42.31494365333664,Newton Center,Middlesex,z02459
86000US02460,9773.0,733.0,-71.20836820758373,42.351992081170366,Newtonville,Middlesex,z02460
86000US02461,7084.0,550.0,-71.20841426643463,42.31675491716545,Newton Highlands,Middlesex,z02461
86000US02462,1389.0,256.0,-71.25619703193635,42.32989719413395,Newton Lower Falls,Middlesex,z02462
86000US02464,3326.0,311.0,-71.21945883605557,42.312904295110876,Newton Upper Falls,Middlesex,z02464
86000US02465,11814.0,612.0,-71.22665995650661,42.34915747300742,West Newton,Middlesex,z02465
86000US02466,8929.0,506.0,-71.24803174308663,42.34405925500883,Auburndale,Middlesex,z02466
86000US02467,22269.0,921.0,-71.16116066503525,42.31641057640174,Chestnut Hill,Middlesex,z02467
86000US02468,5623.0,315.0,-71.2306665955583,42.327277218034794,Waban,Middlesex,z02468
86000US02472,35518.0,89.0,-71.17727513416104,42.36998621759054,Watertown,Middlesex,z02472
86000US02474,27878.0,577.0,-71.156557784201,42.420241411951814,Arlington,Middlesex,z02474
86000US02476,17426.0,577.0,-71.17515438677127,42.416223103686285,Arlington,Middlesex,z02476
86000US02478,26099.0,34.0,-71.17950903721777,42.396003721926746,Belmont,Middlesex,z02478
86000US02481,16140.0,461.0,-71.27433511118947,42.31292468069183,Wellesley Hills,Norfolk,z02481
86000US02482,10855.0,445.0,-71.29985858470788,42.29386289792749,Wellesley,Norfolk,z02482
86000US02492,20571.0,428.0,-71.24372760182558,42.27612110181225,Needham,Norfolk,z02492
86000US02494,10399.0,429.0,-71.23207696016678,42.29966489192573,Needham Heights,Norfolk,z02494
